,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
89,Inj-90,51874.99865308885,80374.99716718889,7730.741089,7817.266846,2040,injector,0,10000
90,Inj-91,51874.99865308885,77874.9966910913,7781.673584,7867.666748,2040,injector,0,10000
91,Inj-92,51874.99865308885,75374.99859609125,7871.538086,7961.148193,2040,injector,0,10000
92,Inj-93,51874.99865308885,72874.99752441447,7982.462524,8079.081543,2040,injector,0,10000
93,Inj-94,50624.998415040056,71624.99788164007,7919.282105,8022.675659,2040,injector,0,10000
94,Inj-P1,59874.99827208886,68374.99773868888,8142.848877,8220.771973,2025,injector,0,10000
95,Inj-P2,60374.99884358884,69624.99797673766,8176.95874,8257.023437,2025,injector,0,10000
96,Inj-P3,60124.998557991246,70874.99761981687,8181.523926,8264.896973,2025,injector,0,10000
97,Inj-P4,59874.99827208886,72124.99726259129,8183.938477,8271.018555,2025,injector,0,10000
98,Inj-P5,60124.998557991246,74624.99773868888,8179.753174,8270.168945,2025,injector,0,10000
99,Inj-P6,60624.99793894247,75874.9967861889,8172.038574,8259.916748,2025,injector,0,10000
100,Inj-P7,61374.99760549128,77124.99821509125,8170.571655,8256.140381,2025,injector,0,10000
101,Inj-P8,62374.99874849124,78374.99726259129,8174.588745,8258.463135,2025,injector,0,10000
102,Inj-P9,63624.99779599127,79624.99750064008,8180.715454,8263.20459,2025,injector,0,10000
103,Inj-P10,64874.998034040065,80874.99773868888,8176.307739,8257.856689,2025,injector,0,10000
104,Inj-P11,66124.9970815401,82124.99678618892,8171.983398,8252.245117,2026,injector,0,10000
105,Inj-P12,67124.99822454006,83374.99821509125,8171.807983,8250.526855,2026,injector,0,10000
106,Inj-P13,67624.99879604005,84624.99726259128,8162.172485,8239.816406,2026,injector,0,10000
107,Inj-P14,68124.9969861377,85874.99631009132,8162.807983,8239.158936,2026,injector,0,10000
108,Inj-P15,68374.99727204008,87124.99773868888,8156.650146,8232.224121,2026,injector,0,10000
109,Inj-P16,68624.99755763767,88374.99678618892,8158.233521,8233.173584,2026,injector,0,10000
110,Inj-P17,68624.99755763767,89624.9970242377,8151.303589,8226.104736,2026,injector,0,10000
111,Inj-P18,68124.9969861377,90874.99726259128,8126.482544,8201.658691,2026,injector,0,10000
